pincode, center_id, name
400078 ,639018, LBS HOSPITAL BHANDUP
400064 ,699501, MADH DISPENSARY
400050 ,695849, BANDRA OLD H/WEST WARD OFFICE
400053 ,698729, BANANA LEAF DISPENSARY
400070 ,740209, Shishu Vikas Mandir P-166
400074 ,700657, Sant Nirankari Bhavan P-154
400064 ,697995, Rajasthan Seva Samiti CVC
400088 ,582415, Shatabdi Hospital-1-Govandi
400078 ,741359, Kokan Mitra Mandal P-115
400007 ,27468, R S Nimkar Health Post
400011 ,701267, Dagdi Chawl P212
400086 ,698638, Samaj Kalyan Parshiwadi P 129
400020 ,714455, Garware Club Paltan Road HP
400051 ,701994, ONE BKC Drive In
400055 ,705253, Bandra Hindu Association WF
400101 ,699422, Alica Hall
400002 ,716065, Jain Mahila Samaj Chandanwadi
400088 ,741695, Cheeta Camp P-145
400011 ,699514, HakimAjmalkhan Dawakhana P211
400042 ,698768, Bhandup Village Mat.P 111 HP
400008 ,699071, Nagpada Police Hospital
400012 ,699482, Saibaba Path BMC School P204
400094 ,633486, BARC Hospital Govandi E-Mumbai
400059 ,696047, Marol HP Pallotti Church
400004 ,595085, SAIFEE HOSPITAL
400058 ,722874, Andheri Recreation Club P 65
400008 ,561546, Nair Hospital 1
400072 ,701240, Kishor Baug Hall P -161
400099 ,696029, Tarun Bharat HP Welfare Center
400005 ,698789, World Trade MCGM Centre Colaba
400010 ,698007, ST. ISABEL SCHOOL HALL
400064 ,698027, SHARDABEN PATEL GROUND HALL
400020 ,631075, BOMBAY HOSPITAL (Pvt) MUMBAI
400012 ,638374, KEM Hospital MUMBAI
400005 ,698056, Shahid Bhagat Sing Road Disp
400099 ,696051, Jain Mandir Tarun Bharat
400092 ,708151, Prabodhankar Thakare Natyagruh
400075 ,649050, N Ward Ganesh Nagar HP
400064 ,628913, Thunga Hospital Malad
400016 ,597000, P D Hinduja 1
400051 ,701862, Bharat Nagar Municipal School
400067 ,703631, Jeevandeep Kandivali West
400067 ,556228, BDBA Hospital 1
400049 ,729521, J N Nanavati HOSPITAL
400097 ,705058, Parekh Nagar Hall P 42
400079 ,696381, Shivaji Maidan Vikhroli
400022 ,561688, Sion Hospital 1
400013 ,701884, Apollo Mill Parking MHSC HP
400016 ,699513, Social Welfare Railway Colony
400101 ,703498, Terapanth Bhavan Ward 24
400089 ,705881, Sahkar Talkies HP Chembur
400077 ,630364, Rajawadi Hospital Ghatkopar(E)
400016 ,614417, Mahim Municipal Maternity Home
400011 ,597642, Wockhardt Hospital Mum-Central
400059 ,695248, Sambhaji Nagar HP Eco Heights
400077 ,699437, D B Pawar Sabhagruh P 125
400058 ,704759, Khidmat Welfare Center
400072 ,701216, L And T Nirali Hospital P-156
400097 ,685278, APPAPA MATERNITY HOME MALAD
400018 ,631271, ESIS HOSPITAL WORLI MUMBAI
400015 ,699274, PRABODHANKAR THAKRE HALL P202
400076 ,707999, Jain Mandir Powai P-122
400027 ,700777, Khilafat House P 210
400014 ,700712, Nabar Guruji Hall GNO.14 P177
400051 ,561621, BKC Jumbo COVID Facility 1
400001 ,711518, Cooperage Garden Drive In CVC
400012 ,561990, KEM Hospital 1
400075 ,702155, Ghatkopar Police Ground P125
400067 ,694515, Chavan Hospital Kandivali West
400025 ,701877, Balasaheb Thakare IAS P-194
400034 ,696472, Willingdon DRIVE IN 60yr PLUS
400093 ,695250, SUNDAR NAGARHP MATOSHRI SPORTS
400097 ,705057, Dhanjiwadi Community Hall P 44
400071 ,631316, MAA HOSPITAL CHEMBUR MUMBAI
400070 ,745452, BUNTAR BHAVAN P-170
400104 ,30393, Moti Lal Nagar HP Goregoan W
400097 ,704347, St Francis Hall
400017 ,695383, ShastriNagar2 Transit C School
400086 ,700151, Jolly Gymkhana VidyaVihar P130
400102 ,23613, Anand Nagar HP ANDHERI W
400084 ,701227, Bazar Hall P-160 Himalaya Hp
400015 ,694501, GTB HOSPITAL SEWRI
400101 ,704305, SANT NIRANKARI SATSANG BHAVAN
400064 ,700887, Maharashtra Hall
400067 ,639071, BDBA Hospital Kandivali
400089 ,743604, Samajklyan Hall P-151
400077 ,696413, SRA Building Ghatkopar East
400055 ,701802, Patuck College S.V. Nagar HP
400065 ,697988, Dindoshi Hall CVC
400095 ,699522, KHUSHBOO HALL
400031 ,687268, Acworth Municipal Hosp Wadala
400072 ,701250, Community Hall Sangarsh P-157
400086 ,696386, Manoranjan Hall Ghatkopar West
400097 ,705051, SHRI NIRANKARI BHAVAN P 43
400063 ,670466, GOKULDHAM MAT HOME GOREGAON(E)
400013 ,707989, Dr Mhaskar Hospital P198
400053 ,696509, K/W HBT URBAN HEALTH CENTER
400097 ,697954, RIDDHI GARDEN MUNICIPAL DISP
400070 ,733402, Kohinoor Mall P-164
400010 ,727966, BANSAL METAL INDUST DARUKHANA
400043 ,725585, ASHA SAMAJ KENDRA P 140
400012 ,644281, TATA MEMORIAL HOSPITAL PAREL
400071 ,748643, Ghatla.municipal School P-153
400093 ,696299, Sarvoday Nagar HP Gurudwara
400056 ,695693, Tata Compound HP Adhar Kendra
400037 ,702057, Abhyasika And Toy Library P179
400060 ,704105, ICCHAPURTI WELFARE 77
400059 ,706965, Shri Satynarayan Goenka Bhavan
400002 ,694516, Chandraprabhu Jain Temple
400102 ,695692, Oshiwara HP Community Hall
400060 ,703434, Trikoni Maidan Natvar Nagar HP
400026 ,594154, Jaslok Hosp- Villa Theresa Sch
400099 ,698811, Joshi Jagir Hall
400064 ,23672, Chokashi Maternity Home Malad
400012 ,649864, MGM Hospital Parel
400014 ,694484, Naigaon Maternity Home
400072 ,701251, AXON HOSP Kajupada HP P-163
400008 ,612360, JJ Hospital 2
400021 ,660263, HCG ICS Cancer Hospital
400027 ,615806, Dr. Babasaheb Memorial GH
400049 ,700366, S K C Parikh Gen Hosp.(JUHU)
400043 ,736765, Mankhurd PMGP P-135
400034 ,700262, BPK Sahakari V Mandir P 215
400037 ,705855, Korba Mithagar BMC School
400083 ,639235, KMJ PHULE HOSPITAL VIKHROLI
400009 ,698674, Badri Baug Masjid Bunder
400050 ,561565, Bhabha Hospital Bandra 1
400050 ,700683, Rangsharda Hotel Hall P.-102
400050 ,597027, Lilavati Hospital-1-Bandra
400076 ,672148, IIT BOMBAY POWAI
400058 ,730606, Bhardawadi HP MVM Banquet Hall
400074 ,696089, Shani Mandir Centenary HP Chem
400005 ,699638, COLABA HP LINKED RADIO CLUB
400049 ,704030, Rotary Club Of Bombay West 71
400008 ,614382, Jagjivan Ram Hospital
400093 ,703473, Poonam Darshan Sunder Nagar HP
400008 ,562287, JJ Hospital Covaxin
400072 ,701212, Tulip Health Post P-158
400026 ,698800, Swaminarayan Temple P 214
400065 ,700892, Aarey Check Naka Gymkhana
400053 ,597031, KOKILABEN HOSPITAL 1
400095 ,699551, MALVANI 2 UPHC
400086 ,635958, Matoshri Ramabai Thakare
400051 ,700174, Sadguru Rahivasi Hitvardhak
400055 ,700143, BMC Facility Community Centre
400064 ,699535, LEHER LIBRARY HALL
400037 ,704537, Wadala Truck Terminals
400006 ,724670, Priyadarshni Park
400057 ,700216, BABASAHEB GAWDE CHARITABLE HOS
400051 ,700266, Jio World Garden Drive
400051 ,701816, Shivaji Colony Hall P-96
400059 ,699558, MIDC Arogya Kendra
400015 ,699451, Celestia Spaces Parking P206
400074 ,695341, Ayodhyanagar Hp Yoga Kendra
400001 ,696045, GT HOSPITAL
400064 ,688193, TOPIWALA DISPENSARY
400005 ,698779, WOMEN GRADUATES UNION HALL
400067 ,703567, Majethia Society Hall
400088 ,741686, Anushakti Nagar P-144
400024 ,725564, Kedarnath Hall P-169
400102 ,705566, BMC Market Building
400014 ,700684, ParseeGymkhana Dadar E P178
400022 ,702026, Municipal School P-173
400037 ,704728, Dosti Acres Muncipal Schl 180
400013 ,730071, One International MCGM Parking
400101 ,703604, Terapanth Bhavan Ward 23
400092 ,624535, HCG APEX HOSPITAL BORIVALI W
400002 ,651800, K. G. MITTAL HOS. Charni Road
400043 ,705809, Haji Niyaz Dialysis Centre
400053 ,726205, Lokhandwala Aditi Puri Trust
400097 ,705071, SwamiNarayanMandirHall Malad E
400004 ,699430, Madhavbaug Temple P 220
400104 ,700886, Laxmi Nagar Dispensary
400059 ,574931, SEVEN HIILS 1
400063 ,714929, Adhaar Kendra Prabhag 54
400030 ,688176, Worli Koliwada Dispensary
400102 ,612041, HBT TRAUMA HOSPITAL
400008 ,694498, BMC MURLI DEVRA NETRA RUGNALAY
400081 ,585385, V. D. Savarkar Hospital-1
